top20:
		id					fc 						pval 					qval 		gene_name					
ENSG00000230590		4.45155596376732		0.000228976632216327    0.923189034652158		FTX
ENSG00000118523     3.66824100603389        0.000391087536359525    0.923189034652158		CCN2
ENSG00000101346     3.99485736522705        0.00055238716047501     0.923189034652158		POFUT1
ENSG00000261557     12.9336577583161        0.000699031166802144    0.923189034652158		EEF1A1P38
ENSG00000150867     14.0103973617327        0.000796310506503417    0.923189034652158		PIP4K2A
ENSG00000147130     166.798232847741        0.000874031992767588    0.923189034652158		ZMYM3
ENSG00000132670     15.060162114326 		0.00110607211392355     0.923189034652158		PTPRA
ENSG00000213542     84.1207707423796        0.00139993231364299     0.923189034652158		AC007000.2
ENSG00000284378     20925.3436422025        0.00140639039785095     0.923189034652158		MIR1244-1
ENSG00000131620     62.0691605773504        0.00172267823167105     0.923189034652158		ANO1
ENSG00000182326     5.9335679204801 		0.00182014407594244     0.923189034652158		C1S
ENSG00000163431     11.6199453286575        0.00182441913928399     0.923189034652158		LMOD1
ENSG00000213553     2.69592337250449        0.00209353530183365     0.923189034652158		RPLP0P6
ENSG00000146540     670.73370251196 		0.00261279556965155     0.923189034652158		C7orf50
ENSG00000184007     3.46372295834479        0.0029805887790082      0.923189034652158		PTP4A2
ENSG00000100461     61.0625495153621        0.003326165421771       0.923189034652158		RBM23
ENSG00000198015     171890.900223247        0.00369509112876454     0.923189034652158		MRPL42
ENSG00000101474     4.05928982562479        0.00372016290876687     0.923189034652158		APMAP
ENSG00000188873     9.2066046952658 		0.00380287597330775     0.923189034652158		RPL10AP2
ENSG00000109016     94.8539658166226        0.00383243970991121     0.923189034652158		DHRS7B


rows of top1 : 223451, 223535, 223538, 223539, 223540
